datetime,demand_mw,hour,day_of_week,month,year,day_of_year,is_weekend,is_business_hour,lag_1h,lag_2h,lag_24h,lag_48h,lag_168h,rolling_mean_6h,rolling_mean_24h,rolling_mean_168h
2015-08-11 01:00:00,28663.0,1,1,8,2015,223,0,0,30822.0,33334.0,28425.0,27307.0,33888.0,35146.166666666664,33553.041666666664,34683.42261904762
2015-08-11 02:00:00,27349.0,2,1,8,2015,223,0,0,28663.0,30822.0,26927.0,25687.0,31851.0,33728.833333333336,33562.958333333336,34652.32142857143
2015-08-11 03:00:00,26496.0,3,1,8,2015,223,0,0,27349.0,28663.0,26020.0,24583.0,30418.0,32168.333333333332,33580.541666666664,34625.52380952381
2015-08-11 04:00:00,26098.0,4,1,8,2015,223,0,0,26496.0,27349.0,25605.0,23870.0,29480.0,30420.5,33600.375,34602.17857142857
2015-08-11 05:00:00,26498.0,5,1,8,2015,223,0,0,26098.0,26496.0,25969.0,23559.0,29353.0,28793.666666666668,33620.916666666664,34582.04761904762
2015-08-11 06:00:00,28123.0,6,1,8,2015,223,0,0,26498.0,26098.0,27465.0,23638.0,30519.0,27654.333333333332,33642.958333333336,34565.05357142857
2015-08-11 07:00:00,30679.0,7,1,8,2015,223,0,0,28123.0,26498.0,29530.0,23620.0,32346.0,27204.5,33670.375,34550.791666666664
2015-08-11 08:00:00,32785.0,8,1,8,2015,223,0,1,30679.0,28123.0,31840.0,24825.0,34454.0,27540.5,33718.25,34540.869047619046
2015-08-11 09:00:00,34399.0,9,1,8,2015,223,0,1,32785.0,30679.0,33724.0,27102.0,36939.0,28446.5,33757.625,34530.93452380953
2015-08-11 10:00:00,35797.0,10,1,8,2015,223,0,1,34399.0,32785.0,35167.0,29466.0,39663.0,29763.666666666668,33785.75,34515.81547619047
2015-08-11 11:00:00,37360.0,11,1,8,2015,223,0,1,35797.0,34399.0,36586.0,31598.0,42421.0,31380.166666666668,33812.0,34492.80357142857
2015-08-11 12:00:00,38489.0,12,1,8,2015,223,0,1,37360.0,35797.0,37412.0,33585.0,44699.0,33190.5,33844.25,34462.67857142857
2015-08-11 13:00:00,39506.0,13,1,8,2015,223,0,1,38489.0,37360.0,37946.0,35372.0,46560.0,34918.166666666664,33889.125,34425.71428571428
2015-08-11 14:00:00,40763.0,14,1,8,2015,223,0,1,39506.0,38489.0,38442.0,36680.0,48037.0,36389.333333333336,33954.125,34383.72619047619
2015-08-11 15:00:00,41769.0,15,1,8,2015,223,0,1,40763.0,39506.0,38626.0,37578.0,49039.0,37719.0,34050.833333333336,34340.42857142857
2015-08-11 16:00:00,42323.0,16,1,8,2015,223,0,1,41769.0,40763.0,38545.0,38150.0,49770.0,38947.333333333336,34181.791666666664,34297.15476190476
2015-08-11 17:00:00,42835.0,17,1,8,2015,223,0,1,42323.0,41769.0,38227.0,38687.0,50324.0,40035.0,34339.208333333336,34252.82738095238
2015-08-11 18:00:00,42728.0,18,1,8,2015,223,0,1,42835.0,42323.0,37940.0,38945.0,50156.0,40947.5,34531.208333333336,34208.25
