scenario,year,anchor_year,anchor_avg_demand_mw,anchor_peak_demand_mw,net_avg_growth_pct,net_peak_growth_pct,projected_avg_demand_mw,projected_peak_demand_mw,structural_growth_pct,ai_data_center_pct,electrification_pct,blockchain_pct,efficiency_offset_pct
Conservative,2026,2018,31781.65583025112,56609.0,0.7,0.8049999999999999,32004.127421062873,57064.70245,0.6,0.3,0.4,0.0,-0.6
Conservative,2027,2018,31781.65583025112,56609.0,0.7,0.8049999999999999,32228.15631301031,57524.07330472249,0.6,0.3,0.4,0.0,-0.6
Conservative,2028,2018,31781.65583025112,56609.0,0.7,0.8049999999999999,32453.75340720138,57987.1420948255,0.6,0.3,0.4,0.0,-0.6
Conservative,2029,2018,31781.65583025112,56609.0,0.7,0.8049999999999999,32680.92968105178,58453.938588688834,0.6,0.3,0.4,0.0,-0.6
Conservative,2030,2018,31781.65583025112,56609.0,0.7,0.8049999999999999,32909.69618881914,58924.49279432778,0.6,0.3,0.4,0.0,-0.6
Base,2026,2018,31781.65583025112,56609.0,2.2,2.5300000000000002,32480.852258516643,58041.207700000006,1.0,0.8,0.7,0.2,-0.5
Base,2027,2018,31781.65583025112,56609.0,2.2,2.5300000000000002,33195.43100820401,59509.65025481002,1.0,0.8,0.7,0.2,-0.5
Base,2028,2018,31781.65583025112,56609.0,2.2,2.5300000000000002,33925.7304903845,61015.244406256716,1.0,0.8,0.7,0.2,-0.5
Base,2029,2018,31781.65583025112,56609.0,2.2,2.5300000000000002,34672.096561172955,62558.93008973501,1.0,0.8,0.7,0.2,-0.5
Base,2030,2018,31781.65583025112,56609.0,2.2,2.5300000000000002,35434.882685518765,64141.671021005306,1.0,0.8,0.7,0.2,-0.5
Accelerated,2026,2018,31781.65583025112,56609.0,4.5,5.185,33211.83034261242,59544.176649999994,1.5,1.6,1.2,0.5,-0.3
Accelerated,2027,2018,31781.65583025112,56609.0,4.5,5.185,34706.36270802997,62631.54220930249,1.5,1.6,1.2,0.5,-0.3
Accelerated,2028,2018,31781.65583025112,56609.0,4.5,5.185,36268.14902989132,65878.98767285483,1.5,1.6,1.2,0.5,-0.3
Accelerated,2029,2018,31781.65583025112,56609.0,4.5,5.185,37900.21573623642,69294.81318369234,1.5,1.6,1.2,0.5,-0.3
Accelerated,2030,2018,31781.65583025112,56609.0,4.5,5.185,39605.72544436707,72887.7492472668,1.5,1.6,1.2,0.5,-0.3
