datetime,demand_mw,actual_risk_label,predicted_risk_label,risk_score
2017-12-28 10:00:00,41625.0,High,High,82.38
2017-12-28 11:00:00,40756.0,High,High,76.96
2017-12-28 12:00:00,39895.0,High,High,53.82
2017-12-28 13:00:00,39369.0,Medium,Medium,28.36
2017-12-28 14:00:00,39132.0,Medium,Medium,28.21
2017-12-28 15:00:00,39023.0,Medium,Medium,19.32
2017-12-28 16:00:00,39620.0,Medium,Medium,18.84
2017-12-28 17:00:00,41556.0,High,High,56.06
2017-12-28 18:00:00,44628.0,High,High,94.9
2017-12-28 19:00:00,44715.0,High,High,90.94
2017-12-28 20:00:00,44411.0,High,High,95.98
2017-12-28 21:00:00,43686.0,High,High,95.67
2017-12-28 22:00:00,42977.0,High,High,90.08
2017-12-28 23:00:00,40722.0,High,High,53.09
2017-12-29 00:00:00,38835.0,Medium,Medium,13.66
2017-12-29 01:00:00,37263.0,Medium,Medium,3.61
2017-12-29 02:00:00,36393.0,Medium,Medium,5.55
2017-12-29 03:00:00,36128.0,Medium,Medium,4.53
2017-12-29 04:00:00,36164.0,Medium,Medium,5.67
2017-12-29 05:00:00,36408.0,Medium,Medium,7.1
2017-12-29 06:00:00,37602.0,Medium,Medium,14.84
2017-12-29 07:00:00,39607.0,Medium,Medium,34.45
2017-12-29 08:00:00,41148.0,High,High,66.97
2017-12-29 09:00:00,41411.0,High,High,84.01
2017-12-29 10:00:00,40683.0,High,High,82.65
2017-12-29 11:00:00,40156.0,High,High,68.99
2017-12-29 12:00:00,39874.0,High,High,59.3
2017-12-29 13:00:00,39287.0,Medium,Medium,38.88
2017-12-29 14:00:00,37977.0,Medium,Medium,27.32
2017-12-29 15:00:00,37776.0,Medium,Medium,15.94
2017-12-29 16:00:00,38432.0,Medium,Medium,21.28
2017-12-29 17:00:00,40134.0,High,Medium,32.45
2017-12-29 18:00:00,42982.0,High,High,84.17
2017-12-29 19:00:00,42882.0,High,High,83.78
2017-12-29 20:00:00,42555.0,High,High,87.65
2017-12-29 21:00:00,41865.0,High,High,85.16
2017-12-29 22:00:00,40769.0,High,High,64.06
2017-12-29 23:00:00,39088.0,Medium,Medium,25.54
2017-12-30 00:00:00,37286.0,Medium,Medium,6.08
2017-12-30 01:00:00,35657.0,Medium,Medium,7.08
2017-12-30 02:00:00,34540.0,Medium,Medium,4.45
2017-12-30 03:00:00,33812.0,Low,Low,2.86
2017-12-30 04:00:00,33635.0,Low,Low,3.61
2017-12-30 05:00:00,33975.0,Low,Medium,2.4
2017-12-30 06:00:00,34625.0,Medium,Medium,4.3
2017-12-30 07:00:00,35660.0,Medium,Medium,7.77
2017-12-30 08:00:00,36743.0,Medium,Medium,11.97
2017-12-30 09:00:00,37753.0,Medium,Medium,14.06
2017-12-30 10:00:00,38948.0,Medium,Medium,17.73
2017-12-30 11:00:00,39344.0,Medium,Medium,36.39
2017-12-30 12:00:00,38996.0,Medium,High,52.85
2017-12-30 13:00:00,38194.0,Medium,Medium,21.82
2017-12-30 14:00:00,37309.0,Medium,Medium,13.46
2017-12-30 15:00:00,37004.0,Medium,Medium,10.64
2017-12-30 16:00:00,36982.0,Medium,Medium,11.01
2017-12-30 17:00:00,38164.0,Medium,Medium,13.53
2017-12-30 18:00:00,40447.0,High,Medium,21.53
2017-12-30 19:00:00,40782.0,High,High,58.09
2017-12-30 20:00:00,40506.0,High,High,55.73
2017-12-30 21:00:00,40383.0,High,Medium,42.39
2017-12-30 22:00:00,39438.0,Medium,Medium,31.61
2017-12-30 23:00:00,37874.0,Medium,Medium,6.37
2017-12-31 00:00:00,36156.0,Medium,Medium,6.27
2017-12-31 01:00:00,35242.0,Medium,Medium,3.83
2017-12-31 02:00:00,34410.0,Medium,Medium,3.58
2017-12-31 03:00:00,34150.0,Low,Low,2.32
2017-12-31 04:00:00,34220.0,Low,Low,2.87
2017-12-31 05:00:00,34627.0,Medium,Medium,2.38
2017-12-31 06:00:00,35438.0,Medium,Medium,3.49
2017-12-31 07:00:00,36615.0,Medium,Medium,6.2
2017-12-31 08:00:00,37612.0,Medium,Medium,8.17
2017-12-31 09:00:00,38435.0,Medium,Medium,12.7
2017-12-31 10:00:00,38803.0,Medium,Medium,17.82
2017-12-31 11:00:00,39375.0,Medium,Medium,20.3
2017-12-31 12:00:00,39565.0,Medium,Medium,46.5
2017-12-31 13:00:00,39664.0,Medium,Medium,39.27
2017-12-31 14:00:00,39888.0,High,Medium,40.55
2017-12-31 15:00:00,40210.0,High,Medium,41.13
