month,avg_demand_mw
2015-08,35342.078986587185
2015-09,32239.588888888888
2015-10,26550.336021505376
2015-11,27490.0875
2015-12,28738.06989247312
2016-01,33398.25
2016-02,32491.55316091954
2016-03,27747.622311827956
2016-04,26659.88888888889
2016-05,27529.52688172043
2016-06,32454.066666666666
2016-07,38088.61424731183
2016-08,38938.8373655914
2016-09,32194.755555555555
2016-10,26566.708333333332
2016-11,27771.7875
2016-12,32083.677419354837
2017-01,32119.165322580644
2017-02,30294.88839285714
2017-03,30301.229166666668
2017-04,26314.458333333332
2017-05,26983.52553763441
2017-06,32858.64861111111
2017-07,36494.32258064516
2017-08,33460.41129032258
2017-09,29974.130555555555
2017-10,27268.16935483871
2017-11,28640.2
2017-12,32924.7688172043
2018-01,35490.663978494624
2018-02,31193.104166666668
2018-03,30433.845430107525
2018-04,27353.266666666666
2018-05,28599.951612903227
2018-06,32014.469444444443
2018-07,36696.7379032258
2018-08,39331.795918367345
