day,high_risk_hours
2018-01-07,19
2018-01-06,19
2018-01-05,18
2018-01-02,17
2018-07-03,16
2018-01-04,16
2018-07-17,15
2018-01-08,15
2018-07-05,14
2018-07-02,14
2018-08-02,13
2018-08-01,13
2018-07-16,13
2018-07-11,13
2018-07-04,13
2018-06-19,13
2018-06-18,13
2018-07-24,12
2018-07-10,12
2018-07-06,12
2018-07-01,12
2018-06-30,12
2018-01-03,12
2018-07-27,11
2018-07-26,11
2018-07-23,11
2018-06-29,11
2018-01-15,11
2018-01-01,11
2018-07-12,10
2018-06-28,10
2017-12-29,10
2017-12-28,10
2018-07-25,9
2018-07-18,9
2018-07-13,9
2018-07-20,8
2018-07-14,8
2018-07-09,8
2018-06-20,8
2018-07-31,7
2018-07-19,7
2018-06-01,7
2018-01-18,7
2017-12-31,7
2018-07-28,6
2018-06-21,6
2018-06-17,6
2018-05-29,5
2018-05-26,5
2018-01-31,5
2018-01-17,5
2018-07-15,4
2018-06-25,4
2018-06-24,3
2018-05-15,3
2018-05-03,3
2018-02-02,3
2018-01-19,3
2018-01-16,3
2018-01-14,3
2018-01-09,3
2017-12-30,3
2018-07-29,2
2018-06-14,2
2018-06-02,2
2018-05-25,2
2018-02-09,2
2018-01-30,2
2018-06-26,1
2018-05-04,1
2018-01-10,1
